ID,Nome Empresa,Website,Segmento,Cidade,Estado,Tier,Fonte,Status,LinkedIn,Produtos,Notas,1-10 ICP? Renner,1-10 ICP? Rafael,1-10 ICP? Nelson,Renner_Score,Tier_Val,Segment_Val,Product_Val,Predicted_Score
10,BIO ENGENHARIA E INDÚSTRIA DE IMPLANTES ORTOPÉDICOS LTDA,http://bioengenharia.com.br/,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,7.0,10.0,10.0,2,1,1,8.5
11,BIOADVANCE INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTPÉDICOS LTDA,www.bioadvance.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Ortopédicos,,10.0,7.0,10.0,10.0,2,1,0,8.0
15,BIOMET 3I DO BRASIL COMÉRCIO DE AP. MÉDICOS LTDA,www.biomet.com,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Bombas de infusão; Instrumentos cirúrgicos; Suturas cirúrgicas; Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Instrumentos odontológicos ; Centrifugadores,,10.0,9.0,8.0,10.0,2,1,3,9.5
36,ENGIMPLAN ENGENHARIA DE IMPLANTE INDÚSTRIA E COMÉRCIO LTDA,www.engimplan.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,9.0,10.0,10.0,2,1,1,8.5
43,GM DOS REIS INDÚSTRIA E COMÉRCIO LTDA,www.gmreis.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,7.0,5.0,10.0,2,1,1,8.5
56,NeoOrtho,,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,10.0,10.0,10.0,10.0,2,1,0,8.0
57,Ortobio,ortobio.ind.br,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,10.0,9.0,10.0,10.0,2,1,0,8.0
58,Ortosíntese,ortosintese.com.br,Implantes Ortopédicos,,,Tier 1,Google,Mapeado,,,,10.0,9.0,10.0,10.0,3,1,0,9.0
59,Neodent (Straumann),www.straumann.com/neodent,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,10.0,10.0,10.0,10.0,3,1,0,9.0
88,Stryker Brasil,www.stryker.com/br,Implantes Ortopédicos,São Paulo,SP,3,Google,Mapeado,,,,10.0,9.0,10.0,10.0,1,1,0,7.0
97,Alliage S.A,www.alliage.com.br,Equipamentos Odontológicos,,,1,ABIMO,Mapeado,,,,10.0,10.0,8.0,10.0,3,0,0,7.0
109,FGM Dental Products,www.fgm.ind.br,Implantes Odontológicos,Joinville,SC,1,RGO Article,Mapeado,,"Sistema Arcsys - angulação 20°, linha completa implantes",,10.0,10.0,8.0,10.0,3,1,1,9.5
110,Neodent Straumann,www.neodent.com.br,Implantes Odontológicos,Curitiba,PR,1,RGO Article,Mapeado,,"Líder Brasil, +1.5M implantes/ano, carga imediata",,10.0,10.0,10.0,10.0,3,1,1,9.5
118,Biomecanica,www.biomecanica.com.br,Implantes Ortopédicos,Jaú,SP,1,Website,Mapeado,,"34 anos, 9.000m2, 120 funcionários, 600k itens/ano, 44 países",,10.0,9.0,10.0,10.0,3,1,0,9.0
119,NEOORTHO Produtos Ortopédicos,www.neoortho.com.br,Implantes Ortopédicos,Curitiba,PR,1,Website,Mapeado,,"Medartis Group, placas, hastes, parafusos, cages, próteses personalizadas",,10.0,10.0,10.0,10.0,3,1,1,9.5
127,Dentoflex,www.dentoflex.com.br,Equipamentos Odontológicos,,,2,Market Research,Mapeado,,Equipamentos e materiais odontológicos,,10.0,10.0,10.0,10.0,2,0,0,6.0
189,J&J,,Dispositivos Médicos,São Paulo,SP,2,ABIMED,Mapeado,,Johnson & Johnson do Brasil Indústria e Comércio de Produtos para Saúde Ltda,,10.0,9.0,10.0,10.0,2,-1,0,4.0
5,ALLIED TITANIUM LTDA - DENTFIX,www.dentfix.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Implantes dentais,,9.0,7.0,8.0,9.0,2,1,1,8.5
21,CAPELLI & FABRIS INDUSTRIA E COMERCIO DE PRODUTOS MÉDICOS ODONTOLÓGICOS LTDA - HELSE ULTRASONIC,https://www.helse.odo.br/,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Instrumentos odontológicos,,9.0,7.0,8.0,9.0,2,1,0,8.0
23,CLOROVALE DIAMANTES INDÚSTRIA E COMÉRCIO LTDA,www.cvdvale.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Instrumentos odontológicos,,9.0,7.0,0.0,9.0,2,1,0,8.0
35,EMFILS INDÚSTRIA E COMÉRCIO PRODUTOS ODONTOLÓGICOS LTDA EPP,www.emfils.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Brocas para odontologia; Dentes artificiais; Implantes dentais; Instrumentos odontológicos,,9.0,10.0,10.0,9.0,2,1,2,9.0
47,HEXAGON INDÚSTRIA E COMÉRCIO DE IMPLANTES ORTOPÉDICOS LTDA,www.hexagon-brasil.com,Dispositivos Médicos,,,2,ABIMO,Mapeado,,,,9.0,7.0,8.0,9.0,2,-1,0,4.0
49,ICONACY ORTHOPEDIC IMPLANTS INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICO HOSPITALARES LTDA,www.prosintese.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Bombas de infusão; Instrumentos cirúrgicos; Ortopédicos,,9.0,9.0,8.0,9.0,2,1,1,8.5
50,IMPLACIL OSSTEM - MATERIAL ODONTOLOGICO S.A.,http://www.implacildebortoli.com.br/,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Implantes dentais; Instrumentos odontológicos,,9.0,7.0,8.0,9.0,2,1,2,9.0
51,Biomecânica,www.biomecanica.com.br,Implantes Ortopédicos,Jaú,SP,Tier 1,ABIMO,Mapeado,,,,9.0,7.0,8.0,9.0,3,1,0,9.0
62,S.I.N. Implant System,www.sinimplantsystem.com,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,9.0,10.0,10.0,9.0,3,1,0,9.0
63,Implacil Osstem,implacil.com.br,Implantes Odontológicos,,,Tier 2,Google,Mapeado,,,,9.0,10.0,10.0,9.0,2,1,0,8.0
